Designator,Mid X,Mid Y,Rotation,Layer
C1,34.5,-27.5,180.0,top
C10,86.5,-118.5,180.0,top
C11,86.5,-131.5,180.0,top
C12,86.5,-144.5,180.0,top
C13,73.5,-157.5,180.0,top
C14,60.5,-157.5,180.0,top
C15,47.5,-157.5,180.0,top
C16,34.5,-157.5,180.0,top
C17,21.5,-144.5,180.0,top
C18,21.5,-131.5,180.0,top
C19,21.5,-118.5,180.0,top
C2,47.5,-27.5,180.0,top
C20,21.5,-105.5,180.0,top
C21,21.5,-79.5,180.0,top
C22,21.5,-66.5,180.0,top
C23,21.5,-53.5,180.0,top
C24,21.5,-40.5,180.0,top
C25,34.5,-92.5,180.0,top
C26,47.5,-92.5,180.0,top
C27,60.5,-92.5,180.0,top
C28,73.5,-92.5,180.0,top
C29,129.5,-27.5,180.0,top
C3,60.5,-27.5,180.0,top
C30,142.5,-27.5,180.0,top
C31,155.5,-27.5,180.0,top
C32,168.5,-27.5,180.0,top
C33,181.5,-40.5,180.0,top
C34,181.5,-53.5,180.0,top
C35,181.5,-66.5,180.0,top
C36,181.5,-79.5,180.0,top
C37,181.5,-105.5,180.0,top
C38,181.5,-118.5,180.0,top
C39,181.5,-131.5,180.0,top
C4,73.5,-27.5,180.0,top
C40,181.5,-144.5,180.0,top
C41,168.5,-157.5,180.0,top
C42,155.5,-157.5,180.0,top
C43,142.5,-157.5,180.0,top
C44,129.5,-157.5,180.0,top
C45,116.5,-144.5,180.0,top
C46,116.5,-131.5,180.0,top
C47,116.5,-118.5,180.0,top
C48,116.5,-105.5,180.0,top
C49,116.5,-79.5,180.0,top
C5,86.5,-40.5,180.0,top
C50,116.5,-66.5,180.0,top
C51,116.5,-53.5,180.0,top
C52,116.5,-40.5,180.0,top
C53,129.5,-92.5,180.0,top
C54,142.5,-92.5,180.0,top
C55,155.5,-92.5,180.0,top
C56,168.5,-92.5,180.0,top
C57,227.5,-22.5,180.0,top
C58,240.5,-22.5,180.0,top
C59,251.55,-33.5,180.0,top
C6,86.5,-53.5,180.0,top
C60,251.5,-46.5,180.0,top
C61,251.5,-68.5,180.0,top
C62,251.5,-81.5,180.0,top
C63,240.5,-92.5,180.0,top
C64,227.5,-92.5,180.0,top
C65,216.5,-81.5,180.0,top
C66,216.5,-68.5,180.0,top
C67,216.5,-46.5,180.0,top
C68,216.5,-33.5,180.0,top
C69,227.5,-57.5,180.0,top
C7,86.5,-66.5,180.0,top
C70,240.5,-57.5,180.0,top
C71,220.5,-122.5,180.0,top
C72,234.0,-122.5,180.0,top
C73,247.5,-122.5,180.0,top
C74,234.0,-140.0,180.0,top
C75,234.0,-157.5,180.0,top
C8,86.5,-79.5,180.0,top
C9,86.5,-105.5,180.0,top
D1,34.5,-31.5,90.0,top
D10,86.5,-122.5,90.0,top
D11,86.5,-135.5,90.0,top
D12,86.5,-148.5,90.0,top
D13,73.5,-161.5,90.0,top
D14,60.5,-161.5,90.0,top
D15,47.5,-161.5,90.0,top
D16,34.5,-161.5,90.0,top
D17,21.5,-148.5,90.0,top
D18,21.5,-135.5,90.0,top
D19,21.5,-122.5,90.0,top
D2,47.5,-31.5,90.0,top
D20,21.5,-109.5,90.0,top
D21,21.5,-83.5,90.0,top
D22,21.5,-70.5,90.0,top
D23,21.5,-57.5,90.0,top
D24,21.5,-44.5,90.0,top
D25,34.5,-96.5,90.0,top
D26,47.5,-96.5,90.0,top
D27,60.5,-96.5,90.0,top
D28,73.5,-96.5,90.0,top
D29,129.5,-31.5,90.0,top
D3,60.5,-31.5,90.0,top
D30,142.5,-31.5,90.0,top
D31,155.5,-31.5,90.0,top
D32,168.5,-31.5,90.0,top
D33,181.5,-44.5,90.0,top
D34,181.5,-57.5,90.0,top
D35,181.5,-70.5,90.0,top
D36,181.5,-83.5,90.0,top
D37,181.5,-109.5,90.0,top
D38,181.5,-122.5,90.0,top
D39,181.45,-135.5,90.0,top
D4,73.5,-31.5,90.0,top
D40,181.5,-148.5,90.0,top
D41,168.5,-161.5,90.0,top
D42,155.5,-161.5,90.0,top
D43,142.5,-161.5,90.0,top
D44,129.5,-161.5,90.0,top
D45,116.5,-148.5,90.0,top
D46,116.5,-135.5,90.0,top
D47,116.5,-122.5,90.0,top
D48,116.5,-109.5,90.0,top
D49,116.5,-83.5,90.0,top
D5,86.5,-44.5,90.0,top
D50,116.5,-70.5,90.0,top
D51,116.5,-57.5,90.0,top
D52,116.5,-44.5,90.0,top
D53,129.5,-96.5,90.0,top
D54,142.5,-96.5,90.0,top
D55,155.5,-96.5,90.0,top
D56,168.5,-96.5,90.0,top
D57,227.5,-26.5,90.0,top
D58,240.5,-26.5,90.0,top
D59,251.5,-37.5,90.0,top
D6,86.5,-57.5,90.0,top
D60,251.5,-50.5,90.0,top
D61,251.5,-72.5,90.0,top
D62,251.5,-85.5,90.0,top
D63,240.5,-96.5,90.0,top
D64,227.5,-96.5,90.0,top
D65,216.5,-85.5,90.0,top
D66,216.5,-72.5,90.0,top
D67,216.5,-50.5,90.0,top
D68,216.5,-37.5,90.0,top
D69,227.5,-61.5,90.0,top
D7,86.5,-70.5,90.0,top
D70,240.5,-61.5,90.0,top
D71,220.5,-126.5,90.0,top
D72,234.0,-126.5,90.0,top
D73,247.5,-126.5,90.0,top
D74,234.0,-144.0,90.0,top
D75,234.0,-161.5,90.0,top
D8,86.5,-83.5,0.0,top
D9,86.5,-109.5,0.0,top
J1,234.0,-177.0,270.0,bottom
J2,54.0,-64.0,180.0,bottom
KiKit_FID_B_1,10.0,-4.0,180.0,bottom
KiKit_FID_B_2,256.5,-4.0,180.0,bottom
KiKit_FID_B_3,10.0,-189.0,180.0,bottom
KiKit_FID_B_4,256.5,-189.0,180.0,bottom
KiKit_FID_T_1,10.0,-4.0,0.0,top
KiKit_FID_T_2,256.5,-4.0,0.0,top
KiKit_FID_T_3,10.0,-189.0,0.0,top
KiKit_FID_T_4,256.5,-189.0,0.0,top
KiKit_MB_1_1,50.3,-10.2,0.0,top
KiKit_MB_1_2,51.157143,-10.2,0.0,top
KiKit_MB_1_3,52.014286,-10.2,0.0,top
KiKit_MB_1_4,52.871429,-10.2,0.0,top
KiKit_MB_1_5,53.728572,-10.2,0.0,top
KiKit_MB_1_6,54.585715,-10.2,0.0,top
KiKit_MB_1_7,55.442858,-10.2,0.0,top
KiKit_MB_1_8,56.3,-10.2,0.0,top
KiKit_MB_2_1,103.6,-10.2,0.0,top
KiKit_MB_2_2,104.457143,-10.2,0.0,top
KiKit_MB_2_3,105.314286,-10.2,0.0,top
KiKit_MB_2_4,106.171429,-10.2,0.0,top
KiKit_MB_2_5,107.028572,-10.2,0.0,top
KiKit_MB_2_6,107.885715,-10.2,0.0,top
KiKit_MB_2_7,108.742858,-10.2,0.0,top
KiKit_MB_2_8,109.6,-10.2,0.0,top
KiKit_MB_3_1,156.9,-10.2,0.0,top
KiKit_MB_3_2,157.757142,-10.2,0.0,top
KiKit_MB_3_3,158.614285,-10.2,0.0,top
KiKit_MB_3_4,159.471428,-10.2,0.0,top
KiKit_MB_3_5,160.328571,-10.2,0.0,top
KiKit_MB_3_6,161.185714,-10.2,0.0,top
KiKit_MB_3_7,162.042857,-10.2,0.0,top
KiKit_MB_3_8,162.9,-10.2,0.0,top
KiKit_MB_4_1,210.2,-10.2,0.0,top
KiKit_MB_4_2,211.057142,-10.2,0.0,top
KiKit_MB_4_3,211.914285,-10.2,0.0,top
KiKit_MB_4_4,212.771428,-10.2,0.0,top
KiKit_MB_4_5,213.628571,-10.2,0.0,top
KiKit_MB_4_6,214.485714,-10.2,0.0,top
KiKit_MB_4_7,215.342857,-10.2,0.0,top
KiKit_MB_4_8,216.2,-10.2,0.0,top
KiKit_MB_5_1,56.3,-182.8,0.0,top
KiKit_MB_5_2,55.442858,-182.8,0.0,top
KiKit_MB_5_3,54.585715,-182.8,0.0,top
KiKit_MB_5_4,53.728572,-182.8,0.0,top
KiKit_MB_5_5,52.871429,-182.8,0.0,top
KiKit_MB_5_6,52.014286,-182.8,0.0,top
KiKit_MB_5_7,51.157143,-182.8,0.0,top
KiKit_MB_5_8,50.3,-182.8,0.0,top
KiKit_MB_6_1,109.6,-182.8,0.0,top
KiKit_MB_6_2,108.742858,-182.8,0.0,top
KiKit_MB_6_3,107.885715,-182.8,0.0,top
KiKit_MB_6_4,107.028572,-182.8,0.0,top
KiKit_MB_6_5,106.171429,-182.8,0.0,top
KiKit_MB_6_6,105.314286,-182.8,0.0,top
KiKit_MB_6_7,104.457143,-182.8,0.0,top
KiKit_MB_6_8,103.6,-182.8,0.0,top
KiKit_MB_7_1,162.9,-182.8,0.0,top
KiKit_MB_7_2,162.042857,-182.8,0.0,top
KiKit_MB_7_3,161.185714,-182.8,0.0,top
KiKit_MB_7_4,160.328571,-182.8,0.0,top
KiKit_MB_7_5,159.471428,-182.8,0.0,top
KiKit_MB_7_6,158.614285,-182.8,0.0,top
KiKit_MB_7_7,157.757142,-182.8,0.0,top
KiKit_MB_7_8,156.9,-182.8,0.0,top
KiKit_MB_8_1,216.2,-182.8,0.0,top
KiKit_MB_8_2,215.342857,-182.8,0.0,top
KiKit_MB_8_3,214.485714,-182.8,0.0,top
KiKit_MB_8_4,213.628571,-182.8,0.0,top
KiKit_MB_8_5,212.771428,-182.8,0.0,top
KiKit_MB_8_6,211.914285,-182.8,0.0,top
KiKit_MB_8_7,211.057142,-182.8,0.0,top
