Designator,Mid X,Mid Y,Rotation,Layer
C100,150.0,-53.5,180.0,top
C101,150.0,-66.5,180.0,top
C102,150.0,-79.5,180.0,top
C103,150.0,-105.5,180.0,top
C104,150.0,-118.5,180.0,top
C105,150.0,-131.5,180.0,top
C106,150.0,-144.5,180.0,top
C107,137.0,-157.5,180.0,top
C108,124.0,-157.5,180.0,top
C109,111.0,-157.5,180.0,top
C110,98.0,-157.5,180.0,top
C111,85.0,-144.5,180.0,top
C112,85.0,-131.5,180.0,top
C113,85.0,-118.5,180.0,top
C114,85.0,-105.5,180.0,top
C115,85.0,-79.5,180.0,top
C116,85.0,-66.5,180.0,top
C117,85.0,-53.5,180.0,top
C118,85.0,-40.5,180.0,top
C119,98.0,-92.5,180.0,top
C120,111.0,-92.5,180.0,top
C121,124.0,-92.5,180.0,top
C122,137.0,-92.5,180.0,top
C123,193.0,-27.5,180.0,top
C124,206.0,-27.5,180.0,top
C125,219.0,-27.5,180.0,top
C126,232.0,-27.5,180.0,top
C127,245.0,-40.5,180.0,top
C128,245.0,-53.5,180.0,top
C129,245.0,-66.5,180.0,top
C130,245.0,-79.5,180.0,top
C131,245.0,-105.5,180.0,top
C132,245.0,-118.5,180.0,top
C133,245.0,-131.5,180.0,top
C134,245.0,-144.5,180.0,top
C135,232.0,-157.5,180.0,top
C136,219.0,-157.5,180.0,top
C137,206.0,-157.5,180.0,top
C138,193.0,-157.5,180.0,top
C139,180.0,-144.5,180.0,top
C140,180.0,-131.5,180.0,top
C141,180.0,-118.5,180.0,top
C142,180.0,-105.5,180.0,top
C143,180.0,-79.5,180.0,top
C144,180.0,-66.5,180.0,top
C145,180.0,-53.5,180.0,top
C146,180.0,-40.5,180.0,top
C147,193.0,-92.5,180.0,top
C148,206.0,-92.5,180.0,top
C149,219.0,-92.5,180.0,top
C150,232.0,-92.5,180.0,top
C76,26.0,-22.5,180.0,top
C77,39.0,-22.5,180.0,top
C78,50.0,-33.5,180.0,top
C79,50.0,-46.5,180.0,top
C80,50.0,-68.5,180.0,top
C81,50.0,-81.5,180.0,top
C82,39.0,-92.5,180.0,top
C83,26.0,-92.5,180.0,top
C84,15.0,-81.5,180.0,top
C85,15.0,-68.5,180.0,top
C86,15.0,-46.5,180.0,top
C87,15.0,-33.5,180.0,top
C88,26.0,-57.5,180.0,top
C89,39.0,-57.5,180.0,top
